#,COMPANY NAME,CATEGORY,US PRESENCE,WEBSITE,EMAIL,CONTACT TYPE,SOURCE / VERIFICATION,STATUS,NOTES
14,Shirakiku,Premium Japanese Rice,Yes (USA),wismettacusa.com (brand owner),(no email published),Form/phone/social only,https://wismettacusa.com/contact-us/,FIXED - verified 02 Sep,"Verified: Shirakiku is a Wismettac Asian Foods brand. No email on Wismettac's contact page - web form only. Dedicated brand social: instagram.com/shirakikubrand. Parent: facebook.com/wismettacsake, linkedin.com/company/wismettac-asian-foods"
15,Nishiki,Premium Japanese Rice,Yes (USA),nishikirice.com,info@nishikirice.com,General (unverified in this pass),,OK (not re-checked),
16,Kagayaki,Premium Japanese Rice,Yes (US dist.),kagayakirice.com,info@kagayakirice.com,General (unverified in this pass),,OK (not re-checked),
17,Toyama Koshihikari,Premium Japanese Rice,Japan only,ja-toyama.or.jp,,General (unverified in this pass),,OK (not re-checked),
18,Yuki Tsubaki,Premium Japanese Rice,Japan only,,,General (unverified in this pass),,OK (not re-checked),
19,Sekka,Premium Japanese Rice,Yes (USA),jfc.com (brand owner),(no email published),Form/phone only,https://www.jfc.com/contact,FIXED - verified 02 Sep,"Verified: Sekka is a JFC International brand (same as Tamanishiki). No email published, form + phone +1 323-721-6100. Note: sheet's sekkarice.com does not exist."
20,Shinmei,Premium Japanese Rice,Japan only,shinmei.co.jp,info@shinmei.co.jp,General (unverified in this pass),,OK (not re-checked),
21,Dassai (Asahi Shuzo),Premium Sake,Yes (USA),dassai.com / dassai-blue.com,press@dassai.com,Press (reported by multiple sources),https://dassai-blue.com/pages/contact,FIXED - verified 02 Sep,"From Aug research: press@dassai.com reported across multiple independent sources incl. an EIN Presswire release; site itself rate-limits automated verification. Sheet's info@dassai.us has NO MX record - guaranteed bounce, do not use. Sister addresses: sales@dassai.com, info@dassai.com. US entity: DASSAI USA INC, Hyde Park NY."
22,Kubota,Premium Sake,Japan only,asahi-shuzo.co.jp,info@asahi-shuzo.co.jp,General (unverified in this pass),,OK (not re-checked),
23,Hakkaisan,Premium Sake,Yes (US imp.),hakkaisan.com,press@hakkaisan.co.jp,Press + named English-language PR staff,https://www.hakkaisan.com/,FIXED - verified 02 Sep,"From Aug research: press@hakkaisan.co.jp confirmed, plus named contacts Shinsuke Sasagawa / Shoko Baba (International Marketing, handle English inquiries). Sheet's info@hakkaisan.com is unverified/likely wrong department."
24,Born,Premium Sake,Japan only,born.co.jp,info@born.co.jp,General (unverified in this pass),,OK (not re-checked),
25,Dewazakura,Premium Sake,Japan only,dewazakura.co.jp,(no email published),Form only,https://www.dewazakura.co.jp/en/contact/,FIXED - verified 02 Sep,"Verified: contact form only, no email address on page. Tendo, Yamagata brewery."
26,Kikusui,Premium Sake,Yes (US imp.),kikusui.co.jp,us@kikusui-sake.com,General (unverified in this pass),,OK (not re-checked),
27,Otokoyama,Premium Sake,Yes (US imp.),otokoyama.com,info@otokoyama.com,General (unverified in this pass),,OK (not re-checked),
28,Tedorigawa,Premium Sake,Japan only,tedorigawa.com,info@tedorigawa.com,General (unverified in this pass),,OK (not re-checked),
29,Gekkeikan,Premium Sake,Yes (USA HQ),us.gekkeikan.com,(no email published),Phone + social,https://us.gekkeikan.com/contact/,FIXED - verified 02 Sep,"Sheet's gekkeikanusa.com does NOT EXIST. Real US site is us.gekkeikan.com, publishes no email - phone +1 (916) 293-7040 only. Social: instagram.com/gekkeikansake_usa. Sheet's info@gekkeikan.com is unverified."
30,Hakutsuru,Premium Sake,Yes (USA),hakutsuru-sake.com / hakutsuru-america.com,info@hakutsuru-america.com,General (US importer arm),https://sayurisake.com/contact-us/,FIXED - verified 02 Sep,"Corporate site hakutsuru-sake.com has NO email (form only, 403 to some fetches). hakutsuru-america.com MX verified live (mx1c38.carrierzone.com) so info@ can receive mail. Social: facebook.com/hakutsuru.sake.usa, instagram.com/hakutsuru.sake.usa. Sheet's hakutsurusa.com does not exist."
31,Suntory (Beam Suntory),Japanese Whisky,Yes (USA HQ),suntory.com,(no email published - use media page),Media contact page (blocks automation),https://www.suntory.com/newsroom/mediacontact/,FIXED - verified 02 Sep,"Sheet's press@beamsuntory.com is NOT published anywhere I could verify. Real dedicated media page exists at suntory.com/newsroom/mediacontact but blocks all automated access (403) - a human needs to open it in a browser. Social: facebook.com/BeamSuntory, instagram.com/beamsuntory."
32,Nikka Whisky,Japanese Whisky,Yes (US imp.),nikka.com,(no email published),Corporate inquiry form + social,https://www.asahigroup-holdings.com/en/customer/,FIXED - verified 02 Sep,Sheet's nikkawhisky-usa.com does NOT EXIST. Nikka (part of Asahi Group) publishes no email; route via Asahi Group Holdings customer form. Social: instagram.com/nikkawhiskyglobal.
33,Chichibu Distillery,Japanese Whisky,Japan only,(no accessible official site found),(none found),Social only,https://www.facebook.com/ChichibuDistillery/,FIXED - verified 02 Sep,"Genuinely hard target: small distillery, no discoverable official website with a contact page in English. Sheet's ichibey.jp does not exist. Only verified route is Facebook (ChichibuDistillery). Flag as low-confidence - recommend approaching via a US importer/distributor instead (e.g. their listed importers on retailer sites) rather than cold-emailing."
34,Mars Whisky,Japanese Whisky,Japan only,hombo.co.jp,info@hombo.co.jp,General (unverified in this pass),,OK (not re-checked),
35,Fuji Gotemba Distillery,Japanese Whisky,Japan only,kirin.co.jp,,General (unverified in this pass),,OK (not re-checked),
36,Kirin Fuji Whisky,Japanese Whisky,Japan only,kirin.co.jp,,General (unverified in this pass),,OK (not re-checked),
37,Kaiyo Whisky,Japanese Whisky,Yes (USA),kaiyowhisky.com,info@kaiyowhisky.com,General (unverified in this pass),,OK (not re-checked),
38,Akkeshi Distillery,Japanese Whisky,Japan only,akkeshi-distillery.com,info@akkeshi-distillery.com,General (unverified in this pass),,OK (not re-checked),
39,Shizuoka Distillery,Japanese Whisky,Japan only,shizuoka-distillery.jp,info@shizuoka-distillery.jp,General (unverified in this pass),,OK (not re-checked),
40,Kanosuke Distillery,Japanese Whisky,Japan only,kanosuke.com,info@kanosuke.com,General (unverified in this pass),,OK (not re-checked),
41,Noritake,Luxury Japanese Ceramics,Yes (USA HQ),noritake.com,marketing@noritake.com,General (unverified in this pass),,OK (not re-checked),
42,Arita Porcelain Lab,Luxury Japanese Ceramics,Japan only,aritaporcelainlab.com,(no email published),Form only,https://aritaporcelainlab.com/en/contact/,FIXED - verified 02 Sep,"Verified: correct real domain (sheet's arita-porcelain-lab.com does not exist). Form only, checked raw HTML too - no email anywhere on site. Phone 81-955-43-2224."
43,Kihara,Luxury Japanese Ceramics,Japan only,e-kihara.co.jp,(no email confirmed on-site),Phone / US distributor,https://e-kihara.co.jp/english/,FIXED - verified 02 Sep,"Real domain e-kihara.co.jp (sheet's kiharaincorporated.com does not exist). Search engines report kmatsu@e-kihara.co.jp but I could NOT verify it on any page - checked contact and English pages directly, no email in the HTML. DO NOT treat as confirmed. Phone 81-955-43-2325 is the safe fallback. US distributor AMEICO (ameico.com) carries the line but their contact page 404'd."
44,Koransha,Luxury Japanese Ceramics,Japan only,koransha.co.jp,info@koransha.co.jp,General (unverified in this pass),,OK (not re-checked),
45,Narumi,Luxury Japanese Ceramics,Yes (USA),narumi.co.jp,(no email published),Phone (has US office),https://www.narumi.co.jp/en/office-location/,FIXED - verified 02 Sep,Verified: real domain narumi.co.jp (sheet's narumi.com is unrelated/does not exist for this purpose). No email anywhere on their office-location or contact pages. DOES have a USA sales office: +1-310-856-8560 - best fallback for an English-speaking contact.
46,Maruni,Luxury Japanese Ceramics,Japan only,maruni.com,info@maruni.com,General (unverified in this pass),,OK (not re-checked),
47,Hasami Porcelain,Luxury Japanese Ceramics,Yes (US dist.),hasami-porcelain.com,sales@saikaiusa.com,US arm (Saikai USA),https://hasami-porcelain.com/en/contact/,FIXED - verified 02 Sep,"Verified on page - three addresses listed: info@tokyosaikai.com (Japan/corporate), sales@saikaiusa.com (US), info@europesaikai.com (Europe). Using the US one since Chris is targeting US-reachable sponsors. Sheet's hasamiporcelain.com does not exist."
48,1616 / Arita Japan,Luxury Japanese Ceramics,Yes (US dist.),1616arita.jp,info@momota-touen.jp,General (parent company Momota Touen),https://1616arita.jp/en/contact/,FIXED - verified 02 Sep,Verified on page. 1616/arita japan is a brand of Momota Touen Co. Sheet's 1616arita.com does not exist.
49,Kutani Ware,Luxury Japanese Ceramics,Japan only,,,General (unverified in this pass),,OK (not re-checked),
50,Mino Ware,Luxury Japanese Ceramics,Japan only,,,General (unverified in this pass),,OK (not re-checked),
51,Kawai,Luxury Chopsticks,Japan only,kawai-ohashi.co.jp (also kawai-hajime.com),(no email published),Form only,https://kawai-ohashi.co.jp/contact/,FIXED - verified 02 Sep,"Real domain located (sheet's kawai-chopsticks.com does not exist - that's a retailer product tag, not the maker). Kawai Co Ltd, Obama City, Fukui. Contact is a web form, no email visible."
52,Hyozaemon,Luxury Chopsticks,Japan only,hyozaemon.co.jp,customer@hyozaemon.co.jp,General,https://www.hyozaemon.co.jp/contact/,FIXED - verified 02 Sep,"Verified on page (with a note to remove a formatting space before ""jp"" for mobile). Real domain hyozaemon.co.jp (sheet's hyozaemon.com is unrelated)."
53,Hashikura Matsukan,Luxury Chopsticks,Yes (US dist.),matsukan.com,info@matsukan.com,General (unverified in this pass),,OK (not re-checked),
54,Yamachiku,Luxury Chopsticks,Yes (US dist.),hashi.co.jp,(no email published),Form only,https://hashi.co.jp/contact/,FIXED - verified 02 Sep,Real domain located via Japanese-language search: hashi.co.jp (sheet's yamachiku.jp does not exist). Kumamoto bamboo chopstick maker. Contact page exists but no email visible in fetched content.
55,Miyabi Urushi,Luxury Chopsticks,Japan only,(no official site found),(none found),Retailer-only,https://musubikiln.com/collections/miyabi-urushi-kogei,FIXED - verified 02 Sep,"GENUINELY NO DISCOVERABLE OFFICIAL WEBSITE for this Nagano/Kiso woodworking maker, in English or Japanese search. Only retailer/reseller pages exist (Musubi Kiln, Globalkitchen Japan, Nihon Ichiban). Sheet's miyabi-japan.co.jp does not exist. Recommend approaching via a US retailer that carries the line, or dropping this target - it may not be a distinct company reachable directly."
56,Ishida,Luxury Chopsticks,Japan only,,,General (unverified in this pass),,OK (not re-checked),
57,Wajima Nuri,Luxury Chopsticks,Japan only,,,General (unverified in this pass),,OK (not re-checked),
58,Marunao,Luxury Chopsticks,Yes (US dist.),marunao.com,info@marunao.com,General (unverified in this pass),,OK (not re-checked),
59,Sunlife,Luxury Chopsticks,Japan only,ohashi-sunlife.com,(no email/phone published),Address only,https://ohashi-sunlife.com/eng/company/,FIXED - verified 02 Sep,"Real domain ohashi-sunlife.com (sheet's sunlife-inc.co.jp does not exist). Company profile page has only physical addresses (HQ + Tokyo design studio), no email or phone found anywhere on the English site."
60,Kawai Chopsticks,Luxury Chopsticks,Japan only,,,General (unverified in this pass),,OK (not re-checked),
61,Yamaroku Shoyu,Premium Soy Sauce,Japan only,yama-roku.net,(no email published),Phone only,https://yama-roku.net/en/access,FIXED - verified 02 Sep,"Verified: real domain yama-roku.net (sheet's yamaroku4.com does not exist). Shodoshima Island, Kagawa. Phone 0879-82-0666 only, no email or form found."
62,Kikkoman,Premium Soy Sauce,Yes (USA HQ),kikkomanusa.com,(no email published - use form),Web form only,https://kikkomanusa.com/contact-us/,FIXED - verified 02 Sep,"CRITICAL: sheet's pr@kikkoman.com IS FABRICATED - confirmed in Aug research to exist nowhere on any Kikkoman property. Their US site has NO email at all, form only. Phone (415) 956-7750. Social: facebook.com/kikkomanusa, instagram.com/kikkomanusa. DO NOT use pr@kikkoman.com under any circumstances."
63,Yamasa,Premium Soy Sauce,Yes (US dist.),yamasausa.com,(no email published),Phone + social,https://www.yamasausa.com/contact,FIXED - verified 02 Sep,"CRITICAL: sheet's yamasa.org is a JAPANESE LANGUAGE SCHOOL, completely unrelated to the soy sauce company. Real site is yamasausa.com (Salem, OR brewery), publishes no email - phone (503) 363-8550. Social: facebook.com/yamasaUSAsoysauce, instagram.com/yamasausa."
64,Marukin,Premium Soy Sauce,Yes (US dist.),marukin.co.jp,info@marukin.co.jp,General (unverified in this pass),,OK (not re-checked),
65,Fundokin,Premium Soy Sauce,Japan only,fundokin.co.jp,info@fundokin.co.jp,General (unverified in this pass),,OK (not re-checked),
66,Shoda,Premium Soy Sauce,Japan only,shoda.co.jp,info@shoda.co.jp,General (unverified in this pass),,OK (not re-checked),
67,Higeta,Premium Soy Sauce,Japan only,higeta.co.jp,info@higeta.co.jp,General (unverified in this pass),,OK (not re-checked),
68,Yugeta,Premium Soy Sauce,Japan only,yugeta.com,(no email published),Form only,https://yugeta.com/contact/,FIXED - verified 02 Sep,"IMPORTANT: yugeta-soy-sauce.com (which looks official) displays ""info@mysite.com"" - an UNEDITED WIX TEMPLATE PLACEHOLDER, not a real address. Do not use it. The real site is yugeta.com; its contact page is a form only, no email visible. Sheet's yugeta-shoyu.com does not exist."
69,Suehiro Shoyu,Premium Soy Sauce,Japan only,suehiro-s.co.jp,info@suehiro-s.co.jp,General,https://www.suehiro-s.co.jp/,FIXED - verified 02 Sep,"Verified on page. Tatsuno City, Hyogo - usukuchi (light) soy sauce since 1879. Sheet's suehiro-shoyu.com does not exist."
70,Inoue Jozo,Premium Soy Sauce,Japan only,COMPANY IDENTITY UNCLEAR,(unresolved),Needs Chris to confirm,n/a,NEEDS CHRIS INPUT - identity unclear,"FLAG FOR CHRIS: could not confirm what specific company ""Inoue Jozo"" refers to. There is an Inoue Shoyu in Okuizumo, Shimane (inoue-shoyu-shop.com) - different region than the Yuasa/Wakayama ""birthplace of soy sauce"" story this category implies. There is a separate Yuasa Shoyu (yuasasyouyu.co.jp) and a Marushinhonke (yuasa-marushin.net) actually based in Yuasa. Sheet's inouejozo.co.jp does not exist. Need the source Chris used to identify which company was intended before I can verify a real contact."
71,Kinjirushi,Fresh Wasabi,Japan only,kinjirushiusa.com,(no email published),Phone + social,https://www.kinjirushiusa.com/contact-us/,FIXED - verified 02 Sep,"Sheet's kinjirushi.com does NOT EXIST. Real US site kinjirushiusa.com (Torrance, CA), publishes no email - phone (310) 214-0441. Social: facebook.com/kinjirushiusa, instagram.com/kinjirushiwasabi."
72,World Wasabi Inc.,Fresh Wasabi,Yes (USA),worldwasabi.com,info@worldwasabi.com,General (unverified in this pass),,OK (not re-checked),
73,Pacific Coast Wasabi,Fresh Wasabi,Yes (USA),wasabia.com,info@wasabia.com,General,https://wasabia.com/about/,FIXED - verified 02 Sep,"Verified (decoded from Cloudflare obfuscation). Operating name is Wasabi Essentials Ltd / brand Pacific Coast Wasabi, Vancouver BC. Sheet's pacificcoastwasabi.com does not exist."
74,Half Moon Bay Wasabi,Fresh Wasabi,Yes (USA),hmbwasabi.com,(no email published),Phone + form,https://hmbwasabi.com/pages/contact,FIXED - verified 02 Sep,Verified: real domain confirmed (matches sheet). No email on the contact page - form + phone +1 415 205 5797 only.
75,Daio Wasabi Farm,Fresh Wasabi,Japan only,daiowasabi.co.jp,koho@daiowasabi.jp,"PR/media (koho = ""public relations"" in Japanese)",https://www.daiowasabi.co.jp/,FIXED - verified 02 Sep,"Verified on page - THREE addresses found: kanko@ (tourism), koho@ (PR/media - use this one), webshop@ (online store). Note the live domain is daiowasabi.CO.JP not .jp as in some listings - both may work but co.jp confirmed. Sheet's daio-wasabi.co.jp does not exist (missing the dash placement)."
76,Utogi Wasabi,Fresh Wasabi,Japan only,COMPANY IDENTITY UNCLEAR,(unresolved),Needs Chris to confirm,n/a,NEEDS CHRIS INPUT - identity unclear,"FLAG FOR CHRIS: ""Utogi"" is a REGION in Shizuoka City known as the birthplace of wasabi cultivation, not a company name. The only business found there is Utsurogi, a restaurant/souvenir shop (054-298-2900), not obviously a wasabi producer/exporter. Sheet's utogi-wasabi.jp does not exist. This looks like the same naming-fabrication pattern as Inoue Jozo (#70) - a real place name turned into a fake company name. Need clarification on what company was actually intended."
77,Real Wasabi LLC,Fresh Wasabi,Yes (USA),realwasabi.com,info@realwasabi.com,General (unverified in this pass),,OK (not re-checked),
78,Shizuoka Wasabi,Fresh Wasabi,Japan only,,,General (unverified in this pass),,OK (not re-checked),
79,Azumino Wasabi,Fresh Wasabi,Japan only,,,General (unverified in this pass),,OK (not re-checked),
80,Oregon Coast Wasabi,Fresh Wasabi,Yes (USA),oregoncoastwasabi.com,info@oregoncoastwasabi.com,General (unverified in this pass),,OK (not re-checked),
81,Yamamoto Nori,Premium Nori,Japan only,yamamotoyama.com,info@yamamotoyama.com,General,https://yamamotoyama.com/pages/contact,FIXED - verified 02 Sep,"Sheet's yamamoto-nori.co.jp does NOT EXIST and appears to conflate a generic name with Yamamotoyama, the actual major US nori/tea importer. Verified info@yamamotoyama.com on their real contact page. Pomona, CA. (800) 800-8327."
82,Shirako,Premium Nori,Japan only,shirako.co.jp,info@shirako.co.jp,General (unverified in this pass),,OK (not re-checked),
83,JFC International,Premium Nori,Yes (USA HQ),jfcintl.com,marketing@jfcintl.com,General (unverified in this pass),,OK (not re-checked),
84,Ariake,Premium Nori,Japan only,ariake-jp.com,info@ariake-jp.com,General (unverified in this pass),,OK (not re-checked),
85,Mitsui Norin,Premium Nori,Japan only,mitsui-norin.co.jp,info@mitsui-norin.co.jp,General (unverified in this pass),,OK (not re-checked),
86,Nico Nico Nori,Premium Nori,Yes (US dist.),niconico-nori.co.jp,(no email published),Phone + form,https://www.niconico-nori.co.jp/contact,FIXED - verified 02 Sep,"Real domain found: niconico-nori.CO.JP (sheet's niconico-nori.com does not exist - wrong TLD). Osaka nori maker. Phone 0120-253-111, form only, no email visible."
87,Yamamotoyama,Premium Nori,Yes (USA),yamamotoyama.com,info@yamamotoyama.com,General,https://yamamotoyama.com/pages/contact,FIXED - verified 02 Sep,"Sheet's yamamotoyama-usa.com does NOT EXIST. Real domain is yamamotoyama.com, info@ verified on page. NOTE: row 105 (Premium Japanese Tea) is the SAME COMPANY - one pitch covers both categories."
88,Kanesa,Premium Nori,Japan only,kanesa.co.jp,info@kanesa.co.jp,General (unverified in this pass),,OK (not re-checked),
89,Hagoromo,Premium Nori,Japan only,hagoromofoods.co.jp,(no email published),Form only,https://www.hagoromofoods.co.jp/contact/,FIXED - verified 02 Sep,"Verified: real domain confirmed. Shizuoka-based (also known for Sea Chicken tuna brand). Form only, no email visible on corporate site. Sheet's hagoromo-foods.co.jp is a near-miss (extra hyphen) that does not resolve."
90,Marutomo,Premium Nori,Japan only,marutomo.co.jp,info@marutomo.co.jp,General (unverified in this pass),,OK (not re-checked),
91,Mizkan,Sushi Vinegar,Yes (USA HQ),mizkan.com,Communications@mizkan.com,Dedicated PR & Media Relations,https://www.mizkan.com/contact/pr-media-relations/,FIXED - verified 02 Sep,"CRITICAL CORRECTION: sheet's press@mizkan.com is NOT the real address - it is not published anywhere on Mizkan's site. The REAL dedicated PR & Media Relations page publishes Communications@mizkan.com. This is one of the strongest hits on the whole list - use it, not what the sheet has."
92,Iio Jozo,Sushi Vinegar,Japan only,iio-jozo.co.jp,info@iio-jozo.co.jp,General (unverified in this pass),,OK (not re-checked),
93,Marukan,Sushi Vinegar,Yes (USA),marukan-usa.com,(no email published),Web form + social,https://www.marukan-usa.com/contact/,FIXED - verified 02 Sep,"Sheet's info@marukan-usa.com is NOT published anywhere on the real site - Marukan publishes no email at all, form only. Phone 562-630-6060. Social: facebook.com/MarukanVinegar. Paramount, CA and Griffin, GA breweries."
94,Tajima Vinegar,Sushi Vinegar,Japan only,tajimajozo.co.jp,(no email published),Form only,https://tajimajozo.co.jp/en/contact_us/,FIXED - verified 02 Sep,"Real company located: ""Tajima Jozosho"" (但馬醸造所), part of Hinode Holdings. Real domain tajimajozo.co.jp (sheet's tajima-su.co.jp does not exist). Phone 079-669-1100, form only, no email visible."
95,Sennari,Sushi Vinegar,Japan only,sennari-oochi.com,(no email published),Phone + form,https://sennari-oochi.com/en/pages/contact,FIXED - verified 02 Sep,"Real domain sennari-oochi.com (sheet's sennari.jp has no MX, cannot receive mail). Hiroshima-based since 1927. Phone +81-82-810-300, form only, no email visible."
96,Akasu by Yokoi,Sushi Vinegar,Japan only,yokoi-vinegar.co.jp,info@yokoi-vinegar.co.jp,General (unverified in this pass),,OK (not re-checked),
97,Mizkan Zenmi,Sushi Vinegar,Yes (USA HQ),mizkan.com,Communications@mizkan.com,Dedicated PR & Media Relations,https://www.mizkan.com/contact/pr-media-relations/,FIXED - verified 02 Sep,"DUPLICATE: this is the SAME COMPANY as row 91 (Mizkan) under a different product-line name. Same correction applies: Communications@mizkan.com, not press@mizkan.com. Do not pitch as two separate sponsors."
98,Kakuida,Sushi Vinegar,Japan only,essan.com,info@essan.com,General,https://www.essan.com/about,FIXED - verified 02 Sep,"Verified on page. Kakuida is a black vinegar brand; essan.com appears to be its English-facing sales site (Odawara, Kanagawa producer Chinriu Honten reported separately but not confirmed on this page - using what's verified). Sheet's kakuida.co.jp does not exist."
99,Naogen,Sushi Vinegar,Japan only,naogen.co.jp,(no email published),Form only,https://www.naogen.co.jp/information/,NEEDS CHRIS INPUT - identity unclear,"CATEGORY ERROR IN SHEET: Naogen (直源) is a SOY SAUCE company in Kanazawa, Ishikawa - not a vinegar producer at all. It was miscategorized under ""Sushi Vinegar."" Real domain naogen.co.jp (sheet's naogen.jp does not exist). Form only, no email found. Flag for Chris: this may need to move to the soy sauce list, or be replaced with an actual vinegar maker."
100,Kono Vinegar,Sushi Vinegar,Japan only,kohno-honten.co.jp,(no email published),Phone + form,https://kohno-honten.co.jp/2018/en-welcome/,FIXED - verified 02 Sep,"Real domain kohno-honten.co.jp (sheet's kono-su.co.jp does not exist). NOTE: located in Maniwa, OKAYAMA prefecture, not Wakayama as sheet implies. Phone 0867-42-0102, form only, no email found."
101,Ippodo Tea,Premium Japanese Tea,Yes (USA),ippodo-tea.co.jp,newyork@ippodo-tea.co.jp,General (unverified in this pass),,OK (not re-checked),
102,Marukyu Koyamaen,Premium Japanese Tea,Japan only,marukyu-koyamaen.co.jp,info@marukyu-koyamaen.co.jp,General (unverified in this pass),,OK (not re-checked),
103,Yamamasa Koyamaen,Premium Japanese Tea,Japan only,yamamasa-koyamaen.co.jp,info@yamamasa-koyamaen.co.jp,General (unverified in this pass),,OK (not re-checked),
104,Hibiki-an,Premium Japanese Tea,Japan only,hibiki-an.com,info@hibiki-an.com,General (unverified in this pass),,OK (not re-checked),
105,Yamamotoyama,Premium Japanese Tea,Yes (USA),yamamotoyama.com,info@yamamotoyama.com,General,https://yamamotoyama.com/pages/contact,FIXED - verified 02 Sep,"DUPLICATE: same company as row 87 (Premium Nori) - Yamamotoyama covers both nori and tea. One pitch, not two. Sheet's yamamotoyama-usa.com does not exist."
106,Horii Shichimeien,Premium Japanese Tea,Japan only,horiishichimeien.com,(no email published),Form only,https://horiishichimeien.com/en/pages/company,FIXED - verified 02 Sep,"Real domain confirmed (sheet's horii-shichimeien.co.jp does not exist). Uji, Kyoto matcha maker since 1832. Form only, no email visible."
107,Ito En,Premium Japanese Tea,Yes (USA HQ),itoen.com,customerservice@itoen.com,General,https://itoen.com/pages/contact-us,FIXED - verified 02 Sep,"Sheet's marketing@itoen.com is not published anywhere I could verify. The real, verified address on their contact page is customerservice@itoen.com. Phone 888-832-7832, Irving TX."
108,Lupicia,Premium Japanese Tea,Yes (USA),lupicia.com,info@lupicia.com,General (unverified in this pass),,OK (not re-checked),
109,Nakamura Tokichi,Premium Japanese Tea,Japan only,global.tokichi.jp,(no email published),Form only,https://global.tokichi.jp/pages/contact,FIXED - verified 02 Sep,"Real domain global.tokichi.jp / tokichi.jp (sheet's nakamura-tokichi.com does not exist). Uji, Kyoto. Two separate contact forms (online store vs. main store), no email visible on either."
110,Hoshino Seichaen,Premium Japanese Tea,Japan only,hoshino-cha.com,info@hoshinocha.com,General,https://www.hoshino-cha.com/contact-us/,FIXED - verified 02 Sep,"Verified on page. Yame, Fukuoka gyokuro/matcha producer. NOTE the email domain (hoshinocha.com, no hyphen) differs slightly from the website domain (hoshino-cha.com, with hyphen) - both appear to be controlled by the same company. Sheet's hoshino-seichaen.co.jp does not exist."
