#,COMPANY NAME,CATEGORY,US PRESENCE,WEBSITE (as in sheet),EMAIL (as in sheet),WEBSITE STATUS,EMAIL DELIVERABILITY,VERDICT,CORRECTED WEBSITE,CORRECTED CONTACT,NOTES
26,Kikusui,Premium Sake,Yes (US imp.),kikusui.co.jp,us@kikusui-sake.com,RESOLVES,MX OK,OK,,,
27,Otokoyama,Premium Sake,Yes (US imp.),otokoyama.com,info@otokoyama.com,RESOLVES,MX OK,OK,,,
28,Tedorigawa,Premium Sake,Japan only,tedorigawa.com,info@tedorigawa.com,RESOLVES,MX OK,OK,,,
29,Gekkeikan,Premium Sake,Yes (USA HQ),gekkeikanusa.com,info@gekkeikan.com,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,us.gekkeikan.com,(no email published) +1 916-293-7040,Verified Aug: gekkeikanusa.com DOES NOT EXIST. Real US site is us.gekkeikan.com and it publishes NO email - phone only. IG @gekkeikansake_usa.
30,Hakutsuru,Premium Sake,Yes (USA),hakutsurusa.com,info@hakutsurusa.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
31,Suntory (Beam Suntory),Japanese Whisky,Yes (USA HQ),beamsuntory.com,press@beamsuntory.com,RESOLVES,MX OK,WRONG CONTACT (verified),suntory.com,https://www.suntory.com/newsroom/mediacontact/,"Verified Aug: press@beamsuntory.com is not published anywhere. Real media page is suntory.com/newsroom/mediacontact (blocks bots, open manually)."
32,Nikka Whisky,Japanese Whisky,Yes (US imp.),nikka.com,info@nikkawhisky-usa.com,RESOLVES,DOMAIN DOES NOT EXIST,BROKEN - email,nikka.com,https://www.asahigroup-holdings.com/en/customer/,Verified Aug: nikkawhisky-usa.com DOES NOT EXIST. Nikka publishes no email; route via Asahi Group form. IG @nikkawhiskyglobal.
33,Chichibu Distillery,Japanese Whisky,Japan only,ichibey.jp,info@ichibey.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
34,Mars Whisky,Japanese Whisky,Japan only,hombo.co.jp,info@hombo.co.jp,RESOLVES,MX OK,OK,,,
35,Fuji Gotemba Distillery,Japanese Whisky,Japan only,kirin.co.jp,,RESOLVES,(no email in sheet),OK,,,
36,Kirin Fuji Whisky,Japanese Whisky,Japan only,kirin.co.jp,,RESOLVES,(no email in sheet),OK,,,
37,Kaiyo Whisky,Japanese Whisky,Yes (USA),kaiyowhisky.com,info@kaiyowhisky.com,RESOLVES,MX OK,OK,,,
38,Akkeshi Distillery,Japanese Whisky,Japan only,akkeshi-distillery.com,info@akkeshi-distillery.com,RESOLVES,MX OK,OK,,,
39,Shizuoka Distillery,Japanese Whisky,Japan only,shizuoka-distillery.jp,info@shizuoka-distillery.jp,RESOLVES,MX OK,OK,,,
40,Kanosuke Distillery,Japanese Whisky,Japan only,kanosuke.com,info@kanosuke.com,RESOLVES,MX OK,OK,,,
41,Noritake,Luxury Japanese Ceramics,Yes (USA HQ),noritake.com,marketing@noritake.com,RESOLVES,MX OK,OK,,,
42,Arita Porcelain Lab,Luxury Japanese Ceramics,Japan only,arita-porcelain-lab.com,info@arita-porcelain-lab.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
43,Kihara,Luxury Japanese Ceramics,Japan only,kiharaincorporated.com,info@kihara.co.jp,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,,,
44,Koransha,Luxury Japanese Ceramics,Japan only,koransha.co.jp,info@koransha.co.jp,RESOLVES,MX OK,OK,,,
45,Narumi,Luxury Japanese Ceramics,Yes (USA),narumi.com,info@narumi.co.jp,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,,,
46,Maruni,Luxury Japanese Ceramics,Japan only,maruni.com,info@maruni.com,RESOLVES,MX OK,OK,,,
47,Hasami Porcelain,Luxury Japanese Ceramics,Yes (US dist.),hasamiporcelain.com,info@hasamiporcelain.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
48,1616 / Arita Japan,Luxury Japanese Ceramics,Yes (US dist.),1616arita.com,info@1616arita.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
49,Kutani Ware,Luxury Japanese Ceramics,Japan only,,,(blank),(no email in sheet),OK,,,
50,Mino Ware,Luxury Japanese Ceramics,Japan only,,,(blank),(no email in sheet),OK,,,
51,Kawai,Luxury Chopsticks,Japan only,kawai-chopsticks.com,info@kawai-chopsticks.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
52,Hyozaemon,Luxury Chopsticks,Japan only,hyozaemon.com,info@hyozaemon.jp,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,,,
53,Hashikura Matsukan,Luxury Chopsticks,Yes (US dist.),matsukan.com,info@matsukan.com,RESOLVES,MX OK,OK,,,
54,Yamachiku,Luxury Chopsticks,Yes (US dist.),yamachiku.jp,info@yamachiku.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
55,Miyabi Urushi,Luxury Chopsticks,Japan only,miyabi-japan.co.jp,info@miyabi-japan.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
56,Ishida,Luxury Chopsticks,Japan only,,,(blank),(no email in sheet),OK,,,
57,Wajima Nuri,Luxury Chopsticks,Japan only,,,(blank),(no email in sheet),OK,,,
58,Marunao,Luxury Chopsticks,Yes (US dist.),marunao.com,info@marunao.com,RESOLVES,MX OK,OK,,,
59,Sunlife,Luxury Chopsticks,Japan only,sunlife-inc.co.jp,info@sunlife-inc.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
60,Kawai Chopsticks,Luxury Chopsticks,Japan only,,,(blank),(no email in sheet),OK,,,
61,Yamaroku Shoyu,Premium Soy Sauce,Japan only,yamaroku4.com,info@yamaroku4.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
62,Kikkoman,Premium Soy Sauce,Yes (USA HQ),kikkomanusa.com,pr@kikkoman.com,RESOLVES,MX OK,WRONG CONTACT (verified),kikkomanusa.com,(no email published) - use form,Verified Aug: pr@kikkoman.com IS FABRICATED - it appears nowhere on any Kikkoman property. Their US site publishes NO email at all. FB/IG @kikkomanusa.
63,Yamasa,Premium Soy Sauce,Yes (US dist.),yamasa.org,info@yamasa.org,RESOLVES,MX OK,WRONG CONTACT (verified),yamasausa.com,(no email published) (503) 363-8550,"Verified Aug: yamasa.org is a JAPANESE LANGUAGE SCHOOL, not the soy sauce company. Real site yamasausa.com, no email published. FB @yamasaUSAsoysauce."
64,Marukin,Premium Soy Sauce,Yes (US dist.),marukin.co.jp,info@marukin.co.jp,RESOLVES,MX OK,OK,,,
65,Fundokin,Premium Soy Sauce,Japan only,fundokin.co.jp,info@fundokin.co.jp,RESOLVES,MX OK,OK,,,
66,Shoda,Premium Soy Sauce,Japan only,shoda.co.jp,info@shoda.co.jp,RESOLVES,MX OK,OK,,,
67,Higeta,Premium Soy Sauce,Japan only,higeta.co.jp,info@higeta.co.jp,RESOLVES,MX OK,OK,,,
68,Yugeta,Premium Soy Sauce,Japan only,yugeta-shoyu.com,info@yugeta-shoyu.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
69,Suehiro Shoyu,Premium Soy Sauce,Japan only,suehiro-shoyu.com,info@suehiro-shoyu.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
70,Inoue Jozo,Premium Soy Sauce,Japan only,inouejozo.co.jp,info@inouejozo.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
71,Kinjirushi,Fresh Wasabi,Japan only,kinjirushi.com,info@kinjirushi.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,kinjirushiusa.com,(no email published) (310) 214-0441,"Verified Aug: kinjirushi.com DOES NOT EXIST. Real US site kinjirushiusa.com, no email published. FB @kinjirushiusa."
72,World Wasabi Inc.,Fresh Wasabi,Yes (USA),worldwasabi.com,info@worldwasabi.com,RESOLVES,MX OK,OK,,,
73,Pacific Coast Wasabi,Fresh Wasabi,Yes (USA),pacificcoastwasabi.com,info@pacificcoastwasabi.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
74,Half Moon Bay Wasabi,Fresh Wasabi,Yes (USA),halfmoonbaywasabi.com,info@halfmoonbaywasabi.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
75,Daio Wasabi Farm,Fresh Wasabi,Japan only,daio-wasabi.co.jp,info@daio-wasabi.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
76,Utogi Wasabi,Fresh Wasabi,Japan only,utogi-wasabi.jp,info@utogi-wasabi.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
77,Real Wasabi LLC,Fresh Wasabi,Yes (USA),realwasabi.com,info@realwasabi.com,RESOLVES,MX OK,OK,,,
78,Shizuoka Wasabi,Fresh Wasabi,Japan only,,,(blank),(no email in sheet),OK,,,
79,Azumino Wasabi,Fresh Wasabi,Japan only,,,(blank),(no email in sheet),OK,,,
80,Oregon Coast Wasabi,Fresh Wasabi,Yes (USA),oregoncoastwasabi.com,info@oregoncoastwasabi.com,RESOLVES,MX OK,OK,,,
81,Yamamoto Nori,Premium Nori,Japan only,yamamoto-nori.com,info@yamamoto-nori.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
82,Shirako,Premium Nori,Japan only,shirako.co.jp,info@shirako.co.jp,RESOLVES,MX OK,OK,,,
83,JFC International,Premium Nori,Yes (USA HQ),jfcintl.com,marketing@jfcintl.com,RESOLVES,MX OK,OK,,,
84,Ariake,Premium Nori,Japan only,ariake-jp.com,info@ariake-jp.com,RESOLVES,MX OK,OK,,,
85,Mitsui Norin,Premium Nori,Japan only,mitsui-norin.co.jp,info@mitsui-norin.co.jp,RESOLVES,MX OK,OK,,,
86,Nico Nico Nori,Premium Nori,Yes (US dist.),niconico-nori.com,info@niconico-nori.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
87,Yamamotoyama,Premium Nori,Yes (USA),yamamotoyama-usa.com,info@yamamotoyama.com,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,yamamotoyama.com,info@yamamotoyama.com,"Verified Aug: yamamotoyama-usa.com DOES NOT EXIST. Real site yamamotoyama.com, info@ confirmed on their contact page. (800) 800-8327."
88,Kanesa,Premium Nori,Japan only,kanesa.co.jp,info@kanesa.co.jp,RESOLVES,MX OK,OK,,,
89,Hagoromo,Premium Nori,Japan only,hagoromo-foods.co.jp,info@hagoromo-foods.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
90,Marutomo,Premium Nori,Japan only,marutomo.co.jp,info@marutomo.co.jp,RESOLVES,MX OK,OK,,,
91,Mizkan,Sushi Vinegar,Yes (USA HQ),mizkan.com,press@mizkan.com,RESOLVES,MX OK,WRONG CONTACT (verified),mizkan.com,Communications@mizkan.com,Verified Aug: real address is Communications@mizkan.com from their dedicated PR & Media Relations page. press@mizkan.com is not published.
92,Iio Jozo,Sushi Vinegar,Japan only,iio-jozo.co.jp,info@iio-jozo.co.jp,RESOLVES,MX OK,OK,,,
93,Marukan,Sushi Vinegar,Yes (USA),marukan-usa.com,info@marukan-usa.com,RESOLVES,MX OK,WRONG CONTACT (verified),marukan-usa.com,(no email published) 562-630-6060,Verified Aug: Marukan publishes NO email - web form only. info@marukan-usa.com is not published. FB @MarukanVinegar.
94,Tajima Vinegar,Sushi Vinegar,Japan only,tajima-su.co.jp,info@tajima-su.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
95,Sennari,Sushi Vinegar,Japan only,sennari.jp,info@sennari.jp,RESOLVES,NO MX - cannot receive mail,BROKEN - email,,,
96,Akasu by Yokoi,Sushi Vinegar,Japan only,yokoi-vinegar.co.jp,info@yokoi-vinegar.co.jp,RESOLVES,MX OK,OK,,,
97,Mizkan Zenmi,Sushi Vinegar,Yes (USA HQ),mizkan.com,press@mizkan.com,RESOLVES,MX OK,WRONG CONTACT (verified),mizkan.com,Communications@mizkan.com,Verified Aug - Mizkan Zenmi is the SAME COMPANY as row 91. Duplicate. Communications@mizkan.com.
98,Kakuida,Sushi Vinegar,Japan only,kakuida.co.jp,info@kakuida.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
99,Naogen,Sushi Vinegar,Japan only,naogen.jp,info@naogen.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
100,Kono Vinegar,Sushi Vinegar,Japan only,kono-su.co.jp,info@kono-su.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
101,Ippodo Tea,Premium Japanese Tea,Yes (USA),ippodo-tea.co.jp,newyork@ippodo-tea.co.jp,RESOLVES,MX OK,OK,,,
102,Marukyu Koyamaen,Premium Japanese Tea,Japan only,marukyu-koyamaen.co.jp,info@marukyu-koyamaen.co.jp,RESOLVES,MX OK,OK,,,
103,Yamamasa Koyamaen,Premium Japanese Tea,Japan only,yamamasa-koyamaen.co.jp,info@yamamasa-koyamaen.co.jp,RESOLVES,MX OK,OK,,,
104,Hibiki-an,Premium Japanese Tea,Japan only,hibiki-an.com,info@hibiki-an.com,RESOLVES,MX OK,OK,,,
105,Yamamotoyama,Premium Japanese Tea,Yes (USA),yamamotoyama-usa.com,info@yamamotoyama.com,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,yamamotoyama.com,info@yamamotoyama.com,"Verified Aug - same company as row 87, DUPLICATE ROW. yamamotoyama-usa.com does not exist."
106,Horii Shichimeien,Premium Japanese Tea,Japan only,horii-shichimeien.co.jp,info@horii-shichimeien.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
107,Ito En,Premium Japanese Tea,Yes (USA HQ),itoen.com,marketing@itoen.com,RESOLVES,MX OK,WRONG CONTACT (verified),itoen.com,customerservice@itoen.com,Verified Aug: real published address is customerservice@itoen.com. marketing@itoen.com is not published. 888-832-7832.
108,Lupicia,Premium Japanese Tea,Yes (USA),lupicia.com,info@lupicia.com,RESOLVES,MX OK,OK,,,
109,Nakamura Tokichi,Premium Japanese Tea,Japan only,nakamura-tokichi.com,info@nakamura-tokichi.com,DOMAIN DOES NOT EXIST,LOOKUP FAILED,BROKEN - both,,,
110,Hoshino Seichaen,Premium Japanese Tea,Japan only,hoshinoseichaen.co.jp,info@hoshinoseichaen.co.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
